Date,Control Point,Arrival / Departure,Hong Kong Residents,Mainland Visitors,Other Visitors,Total
1/1/2023,China Ferry Terminal,Arrival,0,0,0,0
1/1/2023,China Ferry Terminal,Departure,0,0,0,0
2/1/2023,China Ferry Terminal,Arrival,0,0,0,0
2/1/2023,China Ferry Terminal,Departure,0,0,0,0
3/1/2023,China Ferry Terminal,Arrival,0,0,0,0
3/1/2023,China Ferry Terminal,Departure,0,0,0,0
4/1/2023,China Ferry Terminal,Arrival,0,0,0,0
4/1/2023,China Ferry Terminal,Departure,0,0,0,0
5/1/2023,China Ferry Terminal,Arrival,0,0,0,0
5/1/2023,China Ferry Terminal,Departure,0,0,0,0
6/1/2023,China Ferry Terminal,Arrival,0,0,0,0
6/1/2023,China Ferry Terminal,Departure,0,0,0,0
7/1/2023,China Ferry Terminal,Arrival,0,0,0,0
7/1/2023,China Ferry Terminal,Departure,0,0,0,0
8/1/2023,China Ferry Terminal,Arrival,29,12,1,42
8/1/2023,China Ferry Terminal,Departure,38,12,4,54
9/1/2023,China Ferry Terminal,Arrival,3,8,2,13
9/1/2023,China Ferry Terminal,Departure,23,15,1,39
10/1/2023,China Ferry Terminal,Arrival,6,5,4,15
10/1/2023,China Ferry Terminal,Departure,21,8,4,33
11/1/2023,China Ferry Terminal,Arrival,4,5,6,15
11/1/2023,China Ferry Terminal,Departure,35,13,3,51
12/1/2023,China Ferry Terminal,Arrival,26,51,4,81
12/1/2023,China Ferry Terminal,Departure,64,23,4,91
13-01-2023,China Ferry Terminal,Arrival,215,74,28,317
13-01-2023,China Ferry Terminal,Departure,174,63,8,245
14-01-2023,China Ferry Terminal,Arrival,204,100,23,327
14-01-2023,China Ferry Terminal,Departure,269,51,10,330
15-01-2023,China Ferry Terminal,Arrival,292,78,16,386
15-01-2023,China Ferry Terminal,Departure,272,75,12,359
16-01-2023,China Ferry Terminal,Arrival,232,91,28,351
16-01-2023,China Ferry Terminal,Departure,305,90,11,406
17-01-2023,China Ferry Terminal,Arrival,218,111,20,349
17-01-2023,China Ferry Terminal,Departure,390,89,17,496
18-01-2023,China Ferry Terminal,Arrival,239,113,15,367
18-01-2023,China Ferry Terminal,Departure,612,124,16,752
19-01-2023,China Ferry Terminal,Arrival,225,133,23,381
19-01-2023,China Ferry Terminal,Departure,1021,160,19,1200
20-01-2023,China Ferry Terminal,Arrival,188,204,23,415
20-01-2023,China Ferry Terminal,Departure,1430,158,33,1621
21-01-2023,China Ferry Terminal,Arrival,93,124,29,246
21-01-2023,China Ferry Terminal,Departure,1688,136,14,1838
22-01-2023,China Ferry Terminal,Arrival,114,190,10,314
22-01-2023,China Ferry Terminal,Departure,758,37,10,805
23-01-2023,China Ferry Terminal,Arrival,184,290,19,493
23-01-2023,China Ferry Terminal,Departure,679,82,13,774
24-01-2023,China Ferry Terminal,Arrival,500,285,13,798
24-01-2023,China Ferry Terminal,Departure,469,162,22,653
25-01-2023,China Ferry Terminal,Arrival,1132,449,30,1611
25-01-2023,China Ferry Terminal,Departure,370,242,28,640
26-01-2023,China Ferry Terminal,Arrival,784,314,14,1112
26-01-2023,China Ferry Terminal,Departure,406,327,27,760
27-01-2023,China Ferry Terminal,Arrival,709,227,28,964
27-01-2023,China Ferry Terminal,Departure,402,480,44,926
28-01-2023,China Ferry Terminal,Arrival,1005,212,17,1234
28-01-2023,China Ferry Terminal,Departure,416,473,38,927
29-01-2023,China Ferry Terminal,Arrival,1723,323,30,2076
29-01-2023,China Ferry Terminal,Departure,339,232,18,589
30-01-2023,China Ferry Terminal,Arrival,882,316,22,1220
30-01-2023,China Ferry Terminal,Departure,367,278,22,667
